公園コード,公園名,区名,地番又は住所,種別,最終開設面積（ha）,緯度,経度
1105001,宝来運動公園,西区,大字宝来2022-1,運動,5.42,35.93349,139.54958
1101062,荒工第１公園,西区,大字飯田新田250-29,街区,0.04,35.88691,139.55608
1101063,荒工第２公園,西区,大字飯田新田244-7,街区,0.03,35.88679,139.55665
1101055,峰岸北公園,西区,大字峰岸83-8,街区,0.04,35.93251339166667,139.55680139722224
1101068,大宮石橋公園,西区,大字宝来1133-10,街区,0.01,35.91973792222222,139.55758740277778
1141002,穂積神社児童遊園,西区,大字峰岸字南14番５,民間,0.1,35.92946,139.55762
1101035,大宮宝来ハイツ公園,西区,大字宝来1760-11,街区,0.03,35.91848044722222,139.55871766666667
1101083,滝沼宝来広場,西区,大字宝来2172-8,街区,0.06,35.91894,139.55926
1101042,宝来公園,西区,大字宝来1761-3,街区,0.01,35.918165249999994,139.5592684638889
1101069,前公園,西区,大字飯田新田91-9,街区,0.03,35.88792491666667,139.55935021944447
1101030,中宝来公園,西区,大字宝来1280-1,街区,0.03,35.92287,139.55996
1121001,西遊馬公園,西区,大字西遊馬3433-1,都緑,8.84,35.90441,139.56073
1101002,塚本公園,西区,塚本町２丁目152,街区,0.13,35.87641020833333,139.56084698055557
1101014,葭野公園,西区,大字宝来1399,街区,0.2,35.919953625,139.56222453055557
1141001,下宝来児童遊園,西区,宝来1565‐1,民間,0.11,35.91794,139.56248
1101101,平方領々家公園,西区,大字平方領々家字滝沼925-39,街区,0.05,35.92568,139.56254
1101058,佐沼公園,西区,塚本町２丁目77-1,街区,0.15,35.87634493888889,139.56367735555557
1101077,西遊馬北公園,西区,大字西遊馬1556-5,街区,0.03,35.91162084166667,139.56448928055556
1101011,住友２号公園,西区,大字指扇領別所382-110,街区,0.02,35.922740425,139.56461709444446
1101019,秋葉神社公園,西区,大字中釘806,街区,0.1,35.930484125,139.56481774722224
1101081,指扇広場,西区,大字高木85-4,街区,0.11,35.92311493611111,139.5648219388889
1101060,根貝戸公園,西区,大字高木91-4,街区,0.03,35.92357673611111,139.56516578333336
1104002,秋葉の森総合公園,西区,大字中釘1241-1,総合,10.37,35.935297,139.566423
1101027,住友１号公園,西区,大字指扇領別所380-11,街区,0.09,35.92199343888888,139.56665533055556
1101065,赤羽根第１公園,西区,大字指扇2617-2,街区,0.03,35.91639686944444,139.56669007222223
1101028,中釘公園,西区,大字中釘1443,街区,0.23,35.93565130833333,139.567421
